,expected_goals_(xg)_diff,total_shots_diff,big_chances_diff,big_chances_missed_diff,accurate_passes_diff,accurate_passes_percentage_diff,fouls_committed_diff,offsides_diff,corners_diff,shots_off_target_diff,shots_on_target_diff,blocked_shots_diff,hit_woodwork_diff,shots_inside_box_diff,shots_outside_box_diff,xg_open_play_diff,xg_set_play_diff,xg_on_target_(xgot)_diff,passes_diff,own_half_diff,opposition_half_diff,accurate_long_balls_diff,accurate_long_balls_percentage_diff,accurate_crosses_diff,accurate_crosses_percentage_diff,throws_diff,yellow_cards_diff,red_cards_diff,tackles_won_diff,tackles_won_percentage_diff,interceptions_diff,blocks_diff,clearances_diff,keeper_saves_diff,duels_won_diff,ground_duels_won_diff,ground_duels_won_percentage_diff,aerial_duels_won_diff,aerial_duels_won_percentage_diff,successful_dribbles_diff,successful_dribbles_percentage_diff,score_diff,posession_diff,odds_sum,xg_penalty_diff,odds_predict,std_0,std_1,std_2,med_0,med_1,med_2,cv_odds,target
1435,0.11000000000000004,0.0,1.0,1.0,-16.0,-0.020000000000000018,-2.0,3.0,1.0,0.0,-2.0,2.0,0.0,1.0,-1.0,-0.19999999999999998,0.31,-0.09,-17.0,-24.0,8.0,-2.0,-0.10000000000000003,1.0,0.1,-4.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,1.0,3.0,0.08000000000000002,-2.0,-0.12000000000000005,1.0,0.019999999999999907,0.0,-4.0,1.0747173972980424,,0,0.043624696982915566,0.0727948243853789,0.06725358104751683,2.25,3.25,3.1,0.18812429869027253,0
1436,0.21,4.0,0.0,0.0,96.0,0.18999999999999995,-2.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.21,0.12,0.11,103.0,52.0,44.0,10.0,0.19999999999999998,1.0,0.09,3.0,-1.0,0.0,6.0,-0.17999999999999994,0.0,0.0,-4.0,0.0,20.0,18.0,0.44999999999999996,2.0,0.10000000000000003,5.0,0.46,1.0,30.0,1.0635026737967914,,1,0.3130889511912305,0.008867280359309731,3.6209268304000717,8.0,1.1,34.0,1.2076181650372015,1
1437,0.17,5.0,0.0,0.0,-233.0,-0.18000000000000005,2.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,2.0,0.14,0.03,0.29,-235.0,-206.0,-27.0,-6.0,-0.21000000000000002,1.0,0.14,-2.0,-1.0,0.0,6.0,0.21999999999999997,9.0,-2.0,-2.0,0.0,-5.0,-1.0,-0.040000000000000036,-4.0,-0.39999999999999997,-6.0,-0.32999999999999996,1.0,-42.0,1.074074074074074,,1,0.08772716934579951,0.01667927818995429,1.2360330811826103,4.5,1.2857142857142856,13.5,0.9848857801796105,0
1438,-0.09999999999999998,-3.0,0.0,0.0,-23.0,-0.06999999999999995,-1.0,0.0,1.0,-4.0,1.0,0.0,0.0,-3.0,0.0,0.06,-0.15999999999999998,0.24,-12.0,18.0,-41.0,-12.0,-0.3,2.0,0.13,-5.0,0.0,0.0,12.0,0.15000000000000002,-2.0,0.0,-4.0,-1.0,17.0,17.0,0.34,0.0,0.0,2.0,0.32999999999999996,0.0,-2.0,1.0802005012531328,,0,0.05416666666666674,0.050315533876185314,0.13698697784375527,2.375,2.375,4.2,0.35318354456013423,0
1439,0.18000000000000005,5.0,2.0,2.0,-29.0,-0.029999999999999916,-3.0,0.0,1.0,5.0,2.0,-2.0,0.0,3.0,2.0,0.29000000000000004,-0.10999999999999999,0.98,-34.0,-17.0,-12.0,1.0,0.020000000000000018,1.0,-0.71,-13.0,-2.0,0.0,1.0,-0.14999999999999997,-2.0,2.0,3.0,-2.0,7.0,6.0,0.13999999999999996,1.0,0.06000000000000005,-1.0,-0.15999999999999992,0.0,-8.0,1.0896877142823937,,0,0.058830107578427736,0.04388273515227198,0.06266624467709873,2.3,2.9,3.225,0.16709683353473107,1
1440,0.67,2.0,2.0,1.0,52.0,0.12,1.0,-1.0,2.0,2.0,2.0,-2.0,0.0,0.0,2.0,0.64,0.03,0.24000000000000002,51.0,17.0,35.0,8.0,0.09,1.0,-0.2,-2.0,-1.0,0.0,-6.0,0.21999999999999997,-5.0,2.0,2.0,-1.0,-10.0,-6.0,-0.19999999999999996,-4.0,-0.13000000000000006,3.0,-0.17000000000000004,1.0,14.0,1.0801240078039394,,1,0.09399402397604797,0.02299618730477367,0.30068081185417195,3.4,1.55,7.1,0.7035489656156269,2
1441,-0.52,-1.0,0.0,1.0,-207.0,-0.17000000000000004,5.0,0.0,-1.0,-2.0,1.0,0.0,0.0,-1.0,0.0,0.29000000000000004,-0.03,-0.28,-204.0,-159.0,-48.0,-2.0,0.040000000000000036,-1.0,0.32999999999999996,2.0,1.0,0.0,1.0,0.039999999999999925,0.0,0.0,6.0,-2.0,-7.0,-9.0,-0.34,2.0,0.12000000000000005,-5.0,-0.56,-1.0,-40.0,1.0874003189792663,-0.79,2,0.093430574138691,0.5388101317019673,0.022386814258923932,3.8,11.0,1.3636363636363638,0.929972358105353,0
1442,-0.06,0.0,0.0,0.0,-4.0,-0.06000000000000005,-1.0,-2.0,-1.0,2.0,-3.0,1.0,0.0,-1.0,1.0,-0.06999999999999998,0.02,-0.6199999999999999,8.0,-20.0,16.0,-2.0,-0.18,1.0,0.14,3.0,0.0,0.0,4.0,0.09999999999999998,2.0,-1.0,-3.0,2.0,7.0,8.0,0.28,-1.0,-0.040000000000000036,-1.0,0.0,-1.0,2.0,1.0762090411213219,,2,0.0926296222251837,0.4876958296133177,0.02279762151338538,3.8,10.125,1.4,0.8823307432799066,2
1443,0.0,-3.0,1.0,1.0,-18.0,-0.050000000000000044,-2.0,4.0,1.0,-2.0,0.0,-1.0,0.0,1.0,-4.0,0.039999999999999994,-0.04,,-13.0,-13.0,-5.0,0.0,-0.030000000000000027,-2.0,-0.04999999999999999,1.0,0.0,0.0,4.0,0.25,-1.0,1.0,0.0,0.0,4.0,1.0,0.040000000000000036,3.0,0.10000000000000003,-5.0,-0.55,0.0,-4.0,1.0759046778464254,,0,0.045955718953957905,0.17524075380618936,0.05174426669499214,2.2,4.291666666666667,2.575,0.3690151475479153,0
1444,-0.35,-1.0,0.0,0.0,38.0,0.08999999999999997,-3.0,1.0,-6.0,-2.0,0.0,1.0,0.0,-2.0,1.0,-0.16,-0.2,-0.13999999999999999,35.0,47.0,-9.0,-3.0,-0.010000000000000009,2.0,0.69,2.0,0.0,0.0,1.0,-0.25,1.0,0.0,7.0,-1.0,7.0,3.0,0.15999999999999998,4.0,0.18,-1.0,0.0,0.0,6.0,1.0822185061315497,,0,0.06700462205820303,0.044721487438398724,0.1258628025498878,2.3,2.4,4.333333333333334,0.38064657876023184,1
1445,0.19,4.0,0.0,0.0,94.0,0.25,-5.0,-1.0,5.0,4.0,-1.0,1.0,0.0,2.0,2.0,-0.01999999999999999,0.21,-0.05,75.0,18.0,76.0,3.0,0.13,3.0,0.020000000000000018,2.0,-1.0,0.0,-10.0,0.20999999999999996,-2.0,-1.0,-11.0,0.0,4.0,-3.0,-0.10000000000000003,7.0,0.26,6.0,0.4,-1.0,22.0,1.0732600732600732,,2,0.07613584395615078,0.21879664603996812,0.03571976374564508,3.0,5.25,1.8199999999999998,0.5191441466000651,0
1446,0.47000000000000003,7.0,2.0,2.0,129.0,0.09999999999999998,-1.0,2.0,3.0,4.0,3.0,0.0,0.0,5.0,2.0,0.47000000000000003,,0.43999999999999995,127.0,43.0,86.0,4.0,0.16999999999999993,2.0,-0.2,-1.0,0.0,0.0,4.0,0.36999999999999994,0.0,0.0,-9.0,-3.0,-1.0,4.0,0.15999999999999998,-5.0,-0.26,2.0,0.33,0.0,26.0,1.0749601275917064,,1,0.08998269729869629,0.020748342129798498,0.4460514967089147,3.0,1.5714285714285714,9.5,0.900968755504153,0
1447,0.03,2.0,0.0,0.0,-31.0,-0.020000000000000018,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.010000000000000009,0.02,-0.010000000000000002,-36.0,-41.0,10.0,-9.0,-0.10999999999999999,5.0,0.29,-4.0,0.0,0.0,-4.0,-0.040000000000000036,2.0,-1.0,-13.0,-1.0,-3.0,-4.0,-0.13999999999999996,1.0,0.06000000000000005,1.0,0.25,0.0,-4.0,1.0703363914373087,,0,0.06071552089123648,0.038188130791298645,0.13181582469484351,2.4772727272727275,2.5,3.75,0.2503659431087823,1
1448,0.4,3.0,1.0,2.0,-44.0,-0.050000000000000044,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.6100000000000001,-0.21,0.12000000000000005,-42.0,-10.0,-34.0,6.0,-0.03999999999999998,4.0,0.36,-4.0,0.0,0.0,-1.0,-0.32999999999999996,4.0,-1.0,-5.0,-1.0,-9.0,-1.0,-0.040000000000000036,-8.0,-0.39999999999999997,-2.0,0.09999999999999998,0.0,-8.0,1.0689279760487191,,2,0.08003905296791064,0.29545163168726396,0.020889206889771,2.975,6.5,1.7272727272727273,0.6628806706036041,2
1449,1.4,7.0,1.0,2.0,183.0,0.10999999999999999,1.0,1.0,1.0,3.0,2.0,2.0,0.0,5.0,2.0,0.64,-0.02,1.1800000000000002,184.0,21.0,162.0,7.0,0.45000000000000007,0.0,-0.2,0.0,-1.0,0.0,4.0,0.3,-4.0,-1.0,-4.0,-3.0,10.0,10.0,0.34,0.0,0.0,5.0,0.87,-1.0,34.0,1.0764723892228902,0.78,2,0.0729133597133704,0.17324843775599535,0.0428714254235097,3.2,4.798076923076923,1.8,0.4593131761382716,2
1450,1.06,12.0,1.0,0.0,99.0,0.13,-2.0,-1.0,6.0,5.0,3.0,4.0,-1.0,6.0,6.0,1.1600000000000001,-0.09999999999999999,1.42,95.0,-10.0,109.0,1.0,0.19,0.0,-0.2,1.0,0.0,0.0,2.0,0.17000000000000004,5.0,-5.0,-13.0,-1.0,10.0,3.0,0.12000000000000005,7.0,0.36000000000000004,0.0,-0.3,1.0,24.0,1.0696148963182397,,1,0.24267032964268395,0.012349394990317281,1.247219128924647,6.0,1.1846590909090908,17.0,1.0056015657281372,0
